date,open,high,low,close,volume,return_1d,return_3d,return_5d,return_10d,sma_5_ratio,sma_10_ratio,sma_20_ratio,sma_50_ratio,macd,macd_signal,macd_hist,rsi_14,bb_width,bb_pct,atr_ratio,vol_ratio,vol_change,body,upper_shadow,lower_shadow,spy_return_1d,spy_return_5d,aapl_vs_spy_5d,vix_level,vix_change_1d,tlt_return_5d,tlt_trend,trend_regime,vol_regime,rsi_zone,earnings_proximity,return_lag_1,rsi_lag_1,return_lag_2,rsi_lag_2,return_lag_3,rsi_lag_3,macd_hist_lag_1,macd_hist_lag_2,target
2000-01-03,0.7848695360561968,0.8419336497619939,0.7610145719544696,0.8377242088317871,535796800,,,,,,,,,0.0,0.0,0.0,,,,,,,0.06734198532048248,0.005363236483044505,0.030393540589679788,,,,24.209999084472656,,,0,0,0,,0.8187307530779818,,,,,,,,,0
2000-01-04,0.8101277229708739,0.8279015928210399,0.7572730409015207,0.7670958042144775,512377600,-0.08430985266117763,,,,,,,,-0.005634174727306762,-0.0011268349454613524,-0.0045073397818454096,,,,,,-0.04370910763184854,0.05311744992331714,0.021939589704431165,0.01212495639198116,-0.03910586442254882,,,27.010000228881836,0.1156547397891059,,0,0,0,,0.7408182206817179,,,,,,,0.0,,1
2000-01-05,0.7764501699120339,0.827434056252161,0.7708376463410765,0.7783210277557373,778321600,0.014633404953576346,,,,,,,,-0.009088747638830608,-0.0027192174841352036,-0.006369530154695404,,,,,,0.5190390836757892,0.0024095014930776543,0.06325329093815239,0.007228440134919637,0.001788761703119368,,,26.40999984741211,-0.022214008751771375,,0,0,0,,0.6703200460356393,-0.08430985266117763,,,,,,-0.0045073397818454096,0.0,0
2000-01-06,0.7942246378721646,0.8007726132402334,0.710966169834137,0.710966169834137,767972800,-0.08653865888194723,-0.15131237424117805,,,,,,,-0.017064783484752377,-0.005588330684258638,-0.011476452800493739,,,,,,-0.013296303224785255,0.1048298731465802,0.008244487838619247,0.0,-0.016071324167118206,,,25.729999542236328,-0.025747834498469846,,0,0,0,,0.6065306597126334,0.014633404953576346,,-0.08430985266117763,,,,-0.006369530154695404,-0.0045073397818454096,1
2000-01-07,0.7221920244414605,0.7558697488561912,0.7147086463463203,0.7446438074111938,460734400,0.047368832732102684,-0.02926883015124171,,,0.96990375764195,,,,-0.020432808759772048,-0.008557226299361322,-0.011875582460410726,,,,,,-0.4000641689393166,0.031088383989143983,0.01554426117303001,0.010362033700009108,0.05807559670893636,,,21.719999313354492,-0.1558492149329166,,0,0,0,,0.5488116360940265,-0.08653865888194723,,0.014633404953576346,,-0.08430985266117763,,-0.011476452800493739,-0.006369530154695404,0
2000-01-10,0.7633529512592618,0.7652238079649306,0.7090951591476434,0.731546938419342,505064000,-0.017588098983034595,-0.06009613985538431,-0.12674489920795062,,0.9799497449754078,,,,-0.023883486957387734,-0.011622478430966605,-0.01226100852642113,,,,,,0.09621508617546248,0.04166619489379211,0.0024508409937795184,0.02941205537315489,0.003431168447881827,0.0055868860694257005,-0.13233178527737632,21.709999084472656,-0.00046041570893085026,,0,0,0,,0.4065696597405991,0.047368832732102684,,-0.08653865888194723,,0.014633404953576346,,-0.011875582460410726,-0.011476452800493739,0
2000-01-11,0.7179826423614357,0.7437084129281535,0.6772892661002036,0.6941276788711548,441548800,-0.051150866175503795,-0.023683955267394086,-0.09512257131694735,,0.9483640459002618,,,,-0.029299845429934912,-0.015157951830760267,-0.014141893599174645,,,,,,-0.12575673578002,0.03322498634761178,0.0358306302254133,0.023452395333081997,-0.011966322970978882,0.03398873177455686,-0.1291113030915042,22.5,0.03638880464496963,,0,0,0,,0.36787944117144233,-0.017588098983034595,,0.047368832732102684,,-0.08653865888194723,,-0.01226100852642113,-0.011875582460410726,0
2000-01-12,0.7109660286781906,0.7147085917421134,0.6473531480586522,0.6524988412857056,976068800,-0.05997288229904518,-0.12374368148690673,-0.1616584699411704,,0.9232298089795262,,,,-0.03653034870806404,-0.019432431206221023,-0.01709791750184302,,,,,,1.210557021103896,0.08223626029106579,0.005264053292223988,0.007237607732988482,-0.009947872526037682,0.02187485307494308,-0.18353332301611347,22.84000015258789,0.015111117892795178,,0,0,0,,0.33287108369807955,-0.051150866175503795,,-0.017588098983034595,,0.047368832732102684,,-0.014141893599174645,-0.01226100852642113,1
2000-01-13,0.7071067993868332,0.7390301619301806,0.6922565557487842,0.7240625619888306,1032684800,0.1096763950754509,-0.01023089023745083,0.018420556012881617,,1.0207035438270895,,,,-0.03607018582192645,-0.02275998212936211,-0.013310203692564339,,,,,,0.058004107907147606,0.023979068814923787,0.02116738228840273,0.021001415416916313,0.013542686478170696,0.05263095717110433,-0.034210401158222714,21.709999084472656,-0.04947465238905435,,0,0,0,,0.30119421191220214,-0.05997288229904518,,-0.051150866175503795,,-0.017588098983034595,,-0.01709791750184302,-0.014141893599174645,1
2000-01-14,0.7483854658741241,0.7652238771901269,0.7437083486669028,0.7516594529151917,390376000,0.038113959173029066,0.08288356133211616,0.009421478341958167,,1.0575148573223423,1.016766395872765,,,-0.033097141711061484,-0.024827414045701986,-0.008269727665359498,,,,,0.6098723913541774,-0.6219795236649169,0.004374733597001989,0.018124916762101703,0.006249609887544207,0.013578069923735114,0.008362405512466697,0.0010590728294914697,19.65999984741211,-0.09442650039201239,,0,0,0,,0.2725317930340126,0.1096763950754509,,-0.05997288229904518,,-0.051150866175503795,,-0.013310203692564339,-0.01709791750184302,1
2000-01-18,0.755869928801325,0.7932893261917578,0.7516596876658062,0.7778531908988953,459177600,0.03484787942480527,0.19211428692530297,0.06329908587903788,-0.07146864958860677,1.0802911199254082,1.0607895928355444,,,-0.028301129286913862,-0.025522157093944363,-0.002778972192969499,,,,,0.7260498129887794,0.17624444125663463,0.029083392869500478,0.020421681964966572,0.0055700603703014275,-0.007867416879389633,-0.002991705300254166,0.06629079117929204,21.5,0.09359105630054687,,0,0,0,,0.18268352405273466,0.038113959173029066,,0.1096763950754509,,-0.05997288229904518,,-0.008269727665359498,-0.013310203692564339,1
2000-01-19,0.79048196446973,0.8138691990623447,0.7736435032855291,0.7974984645843506,597643200,0.025255760232535618,0.10142204065047755,0.14892186100589666,0.039633459344763367,1.076661064513768,1.0830900055312873,,,-0.022653905363891114,-0.024948506747933714,0.0022946013840426,,,,,0.9324200354718366,0.3015512951851309,0.008876230489746121,0.02070981402969248,0.021301512167322376,0.008144519157043728,0.01730180987154384,0.13162005113435282,21.719999313354492,0.010232526202534453,,0,0,0,,0.16529888822158653,0.03484787942480527,,0.038113959173029066,,0.1096763950754509,,-0.002778972192969499,-0.008269727665359498,1
2000-01-20,0.8643856637993816,0.9092884440330711,0.8494181036949158,0.8494181036949158,1831132800,0.06510312109205785,0.13005710285499994,0.30179250896629006,0.09134672378592223,1.088860268004014,1.1425701628093436,,,-0.013829540419781017,-0.022724713482303177,0.00889517306252216,,,,,2.4538111261530333,2.063923089897116,0.017315835663766568,0.05194762258818661,0.0,-0.01530643014641797,0.011795766084311765,0.2899967428819783,21.75,0.0013812471267926618,,0,0,0,,0.14956861922263506,0.025255760232535618,,0.03484787942480527,,0.038113959173029066,,0.0022946013840426,-0.002778972192969499,0
2000-01-21,0.8550304608162491,0.8550304608162491,0.8246275196920281,0.8330471515655518,495924800,-0.01927313776119366,0.07095678376387937,0.15051819455678794,0.17171137940346082,1.0388478145377351,1.1024455841397907,,,-0.008064207480501073,-0.019792612281942755,0.011728404801441682,,,,0.07700326303059124,0.6897083470925053,-0.7291704894369213,0.025710556825906693,0.0,0.009847171836996235,-0.002158885118567988,-0.0038787426210420417,0.15439693717782998,20.81999969482422,-0.04275863472072561,,0,0,0,,0.1353352832366127,0.06510312109205785,,0.025255760232535618,,0.03484787942480527,,0.00889517306252216,0.0022946013840426,0
